Data;Loja;Faturamento;Pedidos;Ticket Médio
01/06/2021;Sapiranga;R$ 56.356,27;1658;R$ 33,99
01/06/2021;Campo Bom;R$ 41.537,05;1222;R$ 33,99
01/06/2021;Parobé;R$ 36.707,93;1080;R$ 33,99
01/07/2021;Caxias do Sul;R$ 122.228,36;3595;R$ 34,00
01/07/2021;São Leopoldo;R$ 76.488,20;2250;R$ 33,99
01/07/2021;Montenegro;R$ 67.921,59;1998;R$ 33,99
01/07/2021;Sapiranga;R$ 65.643,80;1931;R$ 33,99
01/07/2021;Taquara;R$ 64.681,96;1902;R$ 34,01
01/07/2021;Campo Bom;R$ 48.317,99;1421;R$ 34,00
01/08/2021;Caxias do Sul;R$ 113.865,70;3349;R$ 34,00
01/08/2021;Novo Hamburgo;R$ 79.826,82;2348;R$ 34,00
01/08/2021;Campo Bom;R$ 51.533,65;1516;R$ 33,99
01/08/2021;Parobé;R$ 41.442,26;1219;R$ 34,00
01/09/2021;Montenegro;R$ 68.762,53;2022;R$ 34,01
01/09/2021;São Leopoldo;R$ 68.066,58;2002;R$ 34,00
01/09/2021;Sapiranga;R$ 60.587,70;1782;R$ 34,00
01/09/2021;Taquara;R$ 52.138,94;1533;R$ 34,01
01/09/2021;Campo Bom;R$ 48.589,91;1429;R$ 34,00
01/10/2021;Novo Hamburgo;R$ 97.430,32;2866;R$ 34,00
01/10/2021;São Leopoldo;R$ 86.228,90;2536;R$ 34,00
01/11/2021;Novo Hamburgo;R$ 128.932,78;3792;R$ 34,00
01/11/2021;São Leopoldo;R$ 115.734,97;3404;R$ 34,00
01/11/2021;Sapiranga;R$ 70.634,98;2077;R$ 34,01
01/11/2021;Estância Velha;R$ 59.370,66;1746;R$ 34,00
01/11/2021;Taquara;R$ 49.200,68;1447;R$ 34,00
01/11/2021;Nova Hartz;R$ 30.229,82;889;R$ 34,00
01/12/2021;Caxias do Sul;R$ 129.367,05;3805;R$ 34,00
01/12/2021;Novo Hamburgo;R$ 128.674,31;3785;R$ 34,00
01/12/2021;São Leopoldo;R$ 109.954,22;3234;R$ 34,00
01/12/2021;Sapiranga;R$ 89.459,55;2631;R$ 34,00
01/12/2021;Montenegro;R$ 81.165,45;2387;R$ 34,00
01/12/2021;Estância Velha;R$ 70.612,25;2077;R$ 34,00
01/12/2021;Taquara;R$ 53.985,40;1588;R$ 34,00
01/12/2021;Sapucaia do Sul (Vinicius);R$ 23.860,12;702;R$ 33,99
01/08/2023;Campo Bom;R$ 48.549,15;1426;R$ 34,05
01/09/2023;Shopping Total;R$ 64.131,80;1895;R$ 33,84
01/10/2023;Sapiranga;R$ 49.952,92;1468;R$ 34,03
01/11/2023;Shopping Total;R$ 75.637,84;2208;R$ 34,26
01/11/2023;Campo Bom;R$ 38.917,01;1130;R$ 34,44
01/12/2023;Shopping Total;R$ 70.758,83;2066;R$ 34,25
01/11/2024;Porto Alegre Zona Norte;R$ 5.888,00;173;R$ 34,03
01/12/2024;Vila Mariana;R$ 946,95;28;R$ 33,82
01/08/2019;Sapiranga;R$ 142.772,54;4079;R$ 35,00
01/10/2019;Sapiranga;R$ 115.841,66;3310;R$ 35,00
01/11/2019;Sapiranga;R$ 115.157,85;3290;R$ 35,00
01/03/2020;Sapiranga;R$ 127.734,57;3650;R$ 35,00
01/03/2020;Campo Bom;R$ 107.065,00;3059;R$ 35,00
01/03/2020;Novo Hamburgo;R$ 57.214,54;1635;R$ 34,99
01/04/2020;Sapiranga;R$ 88.876,10;2539;R$ 35,00
01/04/2020;Novo Hamburgo;R$ 8.185,09;234;R$ 34,98
01/06/2020;Sapiranga;R$ 94.462,46;2699;R$ 35,00
01/06/2020;Campo Bom;R$ 71.073,60;2031;R$ 34,99
01/06/2020;Taquara;R$ 54.698,24;1563;R$ 35,00
01/07/2020;Sapiranga;R$ 121.005,43;3457;R$ 35,00
01/07/2020;Novo Hamburgo;R$ 98.495,06;2814;R$ 35,00
01/07/2020;Taquara;R$ 78.443,90;2241;R$ 35,00
01/07/2020;Campo Bom;R$ 63.444,13;1813;R$ 34,99
01/08/2020;Novo Hamburgo;R$ 117.013,71;3343;R$ 35,00
01/08/2020;Campo Bom;R$ 81.349,83;2324;R$ 35,00
01/09/2020;Novo Hamburgo;R$ 126.172,13;3605;R$ 35,00
01/09/2020;Sapiranga;R$ 108.969,09;3113;R$ 35,00
01/09/2020;Taquara;R$ 76.933,95;2198;R$ 35,00
01/10/2020;Sapiranga;R$ 97.860,92;2796;R$ 35,00
01/10/2020;Montenegro;R$ 91.010,93;2600;R$ 35,00
01/10/2020;Taquara;R$ 64.971,70;1856;R$ 35,01
01/11/2020;Novo Hamburgo;R$ 115.220,85;3292;R$ 35,00
01/11/2020;Campo Bom;R$ 65.783,34;1880;R$ 34,99
01/12/2020;Novo Hamburgo;R$ 125.264,46;3579;R$ 35,00
01/12/2020;Montenegro;R$ 110.912,25;3169;R$ 35,00
01/12/2020;Sapiranga;R$ 96.301,48;2751;R$ 35,01
01/12/2020;Taquara;R$ 83.102,13;2374;R$ 35,01
01/01/2021;Novo Hamburgo;R$ 121.668,76;3476;R$ 35,00
01/01/2021;Montenegro;R$ 103.530,47;2958;R$ 35,00
01/01/2021;Taquara;R$ 75.854,00;2167;R$ 35,00
01/01/2021;Caxias do Sul;R$ 55.712,62;1592;R$ 35,00
01/02/2021;Taquara;R$ 60.524,75;1729;R$ 35,01
01/02/2021;Sapiranga;R$ 56.336,05;1610;R$ 34,99
01/02/2021;Campo Bom;R$ 50.545,59;1444;R$ 35,00
01/03/2021;Novo Hamburgo;R$ 100.453,20;2870;R$ 35,00
01/03/2021;Estância Velha;R$ 60.834,49;1738;R$ 35,00
01/03/2021;Taquara;R$ 57.260,60;1636;R$ 35,00
01/03/2021;Sapiranga;R$ 53.401,10;1526;R$ 34,99
01/04/2021;Caxias do Sul;R$ 80.413,13;2298;R$ 34,99
01/04/2021;Montenegro;R$ 76.649,17;2190;R$ 35,00
01/04/2021;Sapiranga;R$ 50.044,07;1430;R$ 35,00
01/04/2021;Taquara;R$ 48.176,58;1376;R$ 35,01
01/04/2021;Campo Bom;R$ 38.543,65;1101;R$ 35,01
01/04/2021;São Leopoldo;R$ 35.792,76;1023;R$ 34,99
01/05/2021;Montenegro;R$ 70.634,88;2018;R$ 35,00
01/05/2021;Taquara;R$ 47.152,73;1347;R$ 35,01
01/05/2021;Parobé;R$ 43.594,45;1246;R$ 34,99
01/06/2021;Caxias do Sul;R$ 106.367,28;3039;R$ 35,00
01/06/2021;Novo Hamburgo;R$ 95.885,60;2740;R$ 34,99
01/06/2021;Estância Velha;R$ 54.633,36;1561;R$ 35,00
01/06/2021;Taquara;R$ 48.281,96;1379;R$ 35,01
01/07/2021;Novo Hamburgo;R$ 102.538,92;2930;R$ 35,00
01/07/2021;Estância Velha;R$ 61.813,26;1766;R$ 35,00
01/07/2021;Parobé;R$ 50.531,31;1444;R$ 34,99
01/08/2021;São Leopoldo;R$ 75.557,68;2159;R$ 35,00
01/08/2021;Montenegro;R$ 71.824,14;2052;R$ 35,00
01/08/2021;Estância Velha;R$ 66.495,99;1900;R$ 35,00
01/08/2021;Sapiranga;R$ 58.241,67;1664;R$ 35,00
01/08/2021;Taquara;R$ 52.457,07;1499;R$ 34,99
01/09/2021;Caxias do Sul;R$ 116.732,15;3335;R$ 35,00
01/09/2021;Novo Hamburgo;R$ 84.039,94;2401;R$ 35,00
01/09/2021;Estância Velha;R$ 55.907,89;1597;R$ 35,01
01/09/2021;Parobé;R$ 37.249,98;1064;R$ 35,01
01/10/2021;Caxias do Sul;R$ 125.607,10;3589;R$ 35,00
01/10/2021;Montenegro;R$ 76.242,56;2178;R$ 35,01
01/10/2021;Sapiranga;R$ 61.765,38;1765;R$ 34,99
01/10/2021;Estância Velha;R$ 61.110,82;1746;R$ 35,00
01/10/2021;Campo Bom;R$ 56.334,86;1610;R$ 34,99
01/10/2021;Taquara;R$ 55.475,49;1585;R$ 35,00
01/10/2021;Nova Hartz;R$ 54.020,31;1543;R$ 35,01
01/10/2021;Parobé;R$ 38.801,00;1109;R$ 34,99
01/11/2021;Caxias do Sul;R$ 112.935,10;3227;R$ 35,00
01/11/2021;Montenegro;R$ 75.866,31;2168;R$ 34,99
01/11/2021;Campo Bom;R$ 59.256,74;1693;R$ 35,00
01/11/2021;Parobé;R$ 40.369,96;1153;R$ 35,01
01/12/2021;Campo Bom;R$ 76.737,74;2193;R$ 34,99
01/12/2021;Parobé;R$ 44.442,81;1270;R$ 34,99
01/12/2021;Nova Hartz;R$ 27.450,25;784;R$ 35,01
01/09/2023;Campo Bom;R$ 53.519,50;1535;R$ 34,87
01/09/2024;Vila Mariana;R$ 14.469,71;408;R$ 35,46
01/10/2024;Vila Mariana;R$ 12.812,21;363;R$ 35,30
01/11/2024;Vila Mariana;R$ 9.373,41;271;R$ 34,59
01/11/2019;Campo Bom;R$ 96.558,80;2682;R$ 36,00
01/01/2020;Campo Bom;R$ 108.411,90;2853;R$ 38,00
01/02/2020;Campo Bom;R$ 109.765,05;2889;R$ 37,99
01/06/2023;Estância Velha;R$ 37.345,03;258;R$ 144,75
01/07/2023;Shopping Total;R$ 77.424,34;1454;R$ 53,25
01/07/2023;Estância Velha;R$ 35.667,05;729;R$ 48,93
01/08/2023;Shopping Total;R$ 63.398,44;1949;R$ 32,53
01/08/2023;Estância Velha;R$ 36.320,73;709;R$ 51,23
01/08/2023;Canoas Mathias;R$ 23.597,15;616;R$ 38,31
01/09/2023;Estância Velha;R$ 31.673,07;599;R$ 52,88
01/10/2023;Shopping Total;R$ 67.732,27;2065;R$ 32,80
01/10/2023;Campo Bom;R$ 49.065,70;1312;R$ 37,40
01/10/2023;Canoas Mathias;R$ 31.515,35;853;R$ 36,95
01/10/2023;Estância Velha;R$ 29.393,68;523;R$ 56,20
01/11/2023;Canoas Mathias;R$ 32.376,32;892;R$ 36,30
01/11/2023;Estância Velha;R$ 27.534,78;502;R$ 54,85
01/12/2023;Estância Velha;R$ 30.766,13;573;R$ 53,69
01/01/2024;Shopping Total;R$ 64.336,66;3790;R$ 16,98
01/01/2024;Campo Bom;R$ 46.038,12;1209;R$ 38,08
01/01/2024;Estância Velha;R$ 28.495,57;546;R$ 52,19
01/02/2024;Estância Velha;R$ 27.780,44;1643;R$ 16,91
01/02/2024;Canoas Mathias;R$ 25.615,22;629;R$ 40,72
01/03/2024;Campo Bom;R$ 44.037,47;1004;R$ 43,86
01/03/2024;Canoas Mathias;R$ 30.717,53;720;R$ 42,66
01/03/2024;Estância Velha;R$ 29.860,34;589;R$ 50,70
01/04/2024;Canoas Mathias;R$ 29.395,57;666;R$ 44,14
01/04/2024;Estância Velha;R$ 26.239,64;518;R$ 50,66
01/05/2024;Campo Bom;R$ 48.029,05;1107;R$ 43,39
01/05/2024;Estância Velha;R$ 22.452,50;369;R$ 60,85
01/05/2024;Canoas Mathias;R$ 2.991,05;68;R$ 43,99
01/06/2024;Campo Bom;R$ 49.242,99;1118;R$ 44,05
01/06/2024;Estância Velha;R$ 15.281,83;256;R$ 59,69
01/07/2024;Campo Bom;R$ 43.562,42;1072;R$ 40,64
01/07/2024;Vila Mariana;R$ 7.986,61;205;R$ 38,96
01/08/2024;Campo Bom;R$ 46.952,66;1149;R$ 40,86
01/08/2024;Vila Mariana;R$ 15.800,20;516;R$ 30,62
01/10/2024;Campo Bom;R$ 28.810,57;680;R$ 42,37
01/01/2020;Sapiranga;R$ 127.060,67;3344;R$ 38,00
01/01/2020;Novo Hamburgo;R$ 89.000,40;2342;R$ 38,00
01/02/2020;Novo Hamburgo;R$ 85.490,36;2250;R$ 38,00
01/05/2023;Montenegro;R$ 70.944,42;444;R$ 159,78
01/06/2023;Montenegro;R$ 65.804,52;1342;R$ 49,03
01/06/2023;Canoas;R$ 45.835,29;436;R$ 105,13
01/06/2023;Zona Norte;R$ 608,49;16;R$ 38,03
01/07/2023;Barra Shopping;R$ 114.585,33;2678;R$ 42,79
01/07/2023;Novo Hamburgo;R$ 110.336,19;1398;R$ 78,92
01/07/2023;São Leopoldo;R$ 94.551,10;1258;R$ 75,16
01/07/2023;Montenegro;R$ 73.669,81;1475;R$ 49,95
01/07/2023;Sapiranga;R$ 55.605,78;685;R$ 81,18
01/07/2023;Canoas;R$ 46.610,68;1140;R$ 40,89
01/07/2023;Zona Norte;R$ 8.096,47;215;R$ 37,66
01/08/2023;Caxias do Sul;R$ 124.636,95;2034;R$ 61,28
01/08/2023;Novo Hamburgo;R$ 112.562,21;2298;R$ 48,98
01/08/2023;Barra Shopping;R$ 90.829,42;3108;R$ 29,22
01/08/2023;São Leopoldo;R$ 83.582,26;1763;R$ 47,41
01/08/2023;Montenegro;R$ 64.729,04;1367;R$ 47,35
01/08/2023;Canoas;R$ 48.631,22;1269;R$ 38,32
01/08/2023;Bento Gonçalves;R$ 48.074,80;669;R$ 71,86
01/08/2023;Sapiranga;R$ 44.810,23;1239;R$ 36,17
01/08/2023;Gravataí;R$ 15.552,29;335;R$ 46,42
01/08/2023;Zona Norte;R$ 8.596,64;196;R$ 43,86
01/09/2023;Caxias do Sul;R$ 139.221,51;2736;R$ 50,89
01/09/2023;Novo Hamburgo;R$ 110.366,61;2171;R$ 50,84
01/09/2023;Barra Shopping;R$ 99.475,46;3345;R$ 29,74
01/09/2023;São Leopoldo;R$ 81.491,40;1693;R$ 48,13
01/09/2023;Montenegro;R$ 65.679,95;1342;R$ 48,94
01/09/2023;Sapiranga;R$ 54.991,94;1529;R$ 35,97
01/09/2023;Canoas;R$ 54.944,45;1445;R$ 38,02
01/09/2023;Bento Gonçalves;R$ 51.416,87;1084;R$ 47,43
01/09/2023;Gravataí;R$ 21.606,87;419;R$ 51,57
01/09/2023;Zona Norte;R$ 4.223,71;89;R$ 47,46
01/10/2023;Caxias do Sul;R$ 122.690,30;2451;R$ 50,06
01/10/2023;Barra Shopping;R$ 114.033,42;3795;R$ 30,05
01/10/2023;Novo Hamburgo;R$ 95.946,27;1955;R$ 49,08
01/10/2023;São Leopoldo;R$ 77.013,91;1666;R$ 46,23
01/10/2023;Montenegro;R$ 68.491,63;1432;R$ 47,83
01/10/2023;Canoas;R$ 51.139,92;1364;R$ 37,49
01/10/2023;Bento Gonçalves;R$ 50.399,27;1050;R$ 48,00
01/10/2023;Gravataí;R$ 21.609,45;447;R$ 48,34
01/10/2023;Lajeado;R$ 15.705,14;326;R$ 48,18
01/10/2023;Zona Norte;R$ 5.836,88;118;R$ 49,47
01/11/2023;Caxias do Sul;R$ 135.853,22;2611;R$ 52,03
01/11/2023;Barra Shopping;R$ 133.914,34;4301;R$ 31,14
01/11/2023;Novo Hamburgo;R$ 107.238,45;2139;R$ 50,13
01/11/2023;São Leopoldo;R$ 84.079,28;1768;R$ 47,56
01/11/2023;Lajeado;R$ 78.457,26;1565;R$ 50,13
01/11/2023;Bento Gonçalves;R$ 66.524,61;1330;R$ 50,02
01/11/2023;Montenegro;R$ 62.276,82;1267;R$ 49,15
01/11/2023;Canoas;R$ 53.223,40;1459;R$ 36,48
01/11/2023;Sapiranga;R$ 49.651,62;1393;R$ 35,64
01/11/2023;Gravataí;R$ 23.741,80;508;R$ 46,74
01/11/2023;Zona Norte;R$ 5.873,75;137;R$ 42,87
01/12/2023;Barra Shopping;R$ 166.546,26;5379;R$ 30,96
01/12/2023;Caxias do Sul;R$ 151.384,68;2815;R$ 53,78
01/12/2023;Novo Hamburgo;R$ 107.718,37;2150;R$ 50,10
01/12/2023;São Leopoldo;R$ 88.884,29;1774;R$ 50,10
01/12/2023;Montenegro;R$ 75.822,47;1454;R$ 52,15
01/12/2023;Lajeado;R$ 74.607,39;1502;R$ 49,67
01/12/2023;Sapiranga;R$ 55.652,88;1478;R$ 37,65
01/12/2023;Bento Gonçalves;R$ 55.274,92;1062;R$ 52,05
01/12/2023;Canoas;R$ 49.474,99;1286;R$ 38,47
01/12/2023;Gravataí;R$ 36.071,53;814;R$ 44,31
01/12/2023;Zona Norte;R$ 6.460,09;134;R$ 48,21
01/01/2024;Caxias do Sul;R$ 130.916,46;2382;R$ 54,96
01/01/2024;Barra Shopping;R$ 111.287,82;3790;R$ 29,36
01/01/2024;Novo Hamburgo;R$ 98.238,38;2047;R$ 47,99
01/01/2024;São Leopoldo;R$ 80.734,30;1608;R$ 50,21
01/01/2024;Erechim;R$ 76.932,77;1738;R$ 44,27
01/01/2024;Lajeado;R$ 62.465,62;1217;R$ 51,33
01/01/2024;Montenegro;R$ 61.370,75;1238;R$ 49,57
01/01/2024;Bento Gonçalves;R$ 50.082,27;971;R$ 51,58
01/01/2024;Canoas;R$ 41.690,23;988;R$ 42,20
01/01/2024;Gravataí;R$ 39.179,55;883;R$ 44,37
01/01/2024;Zona Norte;R$ 6.870,47;165;R$ 41,64
01/02/2024;Caxias do Sul;R$ 122.303,16;2357;R$ 51,89
01/02/2024;Novo Hamburgo;R$ 97.897,72;1961;R$ 49,92
01/02/2024;Barra Shopping;R$ 97.247,44;3139;R$ 30,98
01/02/2024;São Leopoldo;R$ 93.863,35;1933;R$ 48,56
01/02/2024;Erechim;R$ 85.055,03;2035;R$ 41,80
01/02/2024;Floresta;R$ 70.084,49;1643;R$ 42,66
01/02/2024;Montenegro;R$ 67.994,34;1315;R$ 51,71
01/02/2024;Lajeado;R$ 50.775,84;1011;R$ 50,22
01/02/2024;Sapiranga;R$ 49.982,44;1276;R$ 39,17
01/02/2024;Bento Gonçalves;R$ 43.437,99;872;R$ 49,81
01/02/2024;Gravataí;R$ 39.577,53;953;R$ 41,53
01/02/2024;Canoas;R$ 35.894,77;829;R$ 43,30
01/02/2024;Zona Norte;R$ 4.439,50;84;R$ 52,85
01/03/2024;Caxias do Sul;R$ 131.901,42;2510;R$ 52,55
01/03/2024;Novo Hamburgo;R$ 105.723,57;2132;R$ 49,59
01/03/2024;São Leopoldo;R$ 103.647,37;2056;R$ 50,41
01/03/2024;Barra Shopping;R$ 92.633,96;3054;R$ 30,33
01/03/2024;Erechim;R$ 84.977,64;1994;R$ 42,62
01/03/2024;Montenegro;R$ 71.080,12;1385;R$ 51,32
01/03/2024;Floresta;R$ 68.845,12;1630;R$ 42,24
01/03/2024;Sapiranga;R$ 53.791,95;1381;R$ 38,95
01/03/2024;Lajeado;R$ 50.756,71;1065;R$ 47,66
01/03/2024;Bento Gonçalves;R$ 49.135,17;1004;R$ 48,94
01/03/2024;Protásio Alves;R$ 46.175,28;1187;R$ 38,90
01/03/2024;Canoas;R$ 38.987,21;787;R$ 49,54
01/03/2024;Gravataí;R$ 38.834,88;823;R$ 47,19
01/03/2024;Zona Norte;R$ 5.024,02;91;R$ 55,21
01/04/2024;Caxias do Sul;R$ 135.423,32;2469;R$ 54,85
01/04/2024;Novo Hamburgo;R$ 105.653,58;2167;R$ 48,76
01/04/2024;São Leopoldo;R$ 99.805,12;2030;R$ 49,17
01/04/2024;Barra Shopping;R$ 83.207,62;2689;R$ 30,94
01/04/2024;Erechim;R$ 77.069,92;2028;R$ 38,00
01/04/2024;Montenegro;R$ 76.189,50;1533;R$ 49,70
01/04/2024;Protásio Alves;R$ 67.765,41;1749;R$ 38,75
01/04/2024;Floresta;R$ 56.965,43;1450;R$ 39,29
01/04/2024;Sapiranga;R$ 52.642,68;1406;R$ 37,44
01/04/2024;Esteio;R$ 52.415,87;1089;R$ 48,13
01/04/2024;Bento Gonçalves;R$ 50.641,44;1038;R$ 48,79
01/04/2024;Lajeado;R$ 46.826,66;1042;R$ 44,94
01/04/2024;Gravataí;R$ 37.520,14;831;R$ 45,15
01/04/2024;Canoas;R$ 35.754,96;785;R$ 45,55
01/04/2024;Zona Norte;R$ 6.791,51;125;R$ 54,33
